0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Subject,mean_lo_percent
-0.97774968,-0.965956398,-0.952768939,-0.934507904,-0.914184157,-0.891163739,-0.866188196,-0.840152156,-0.813003535,-0.785653449,-0.758304225,-0.731213593,-0.704711982,-0.678826167,-0.653584903,-0.629074583,-0.605039133,-0.581552461,-0.558346167,-0.53538604,-0.512494621,-0.489600202,-0.466584536,-0.443398389,-0.41999075,-0.396332875,-0.372418815,-0.348256756,-0.323885179,-0.299327407,-0.274627708,-0.24984096,-0.225001813,-0.200167701,-0.175373535,-0.150659714,-0.126056895,-0.101578153,-0.077250889,-0.053071855,-0.029046356,-0.005166857,0.018572496,0.042191932,0.065700812,0.089118607,0.112463172,0.135747069,0.158986627,0.182190789,0.205369382,0.228527775,0.251670828,0.274799492,0.297913256,0.321007931,0.344079227,0.367121622,0.390124989,0.413086767,0.435993516,0.458842374,0.48162283,0.504332971,0.526959308,0.549506236,0.571962661,0.594325837,0.616595719,0.6387711,0.66084284,0.682820986,0.704696758,0.726473502,0.748152487,0.769732409,0.791213533,0.812595746,0.833888768,0.855085181,0.876200231,0.897221005,0.918173775,0.939043775,0.959865908,0.98062442,1.001356029,1.022059224,1.042762194,1.063475627,1.084235867,1.105031479,1.125941609,1.146905879,1.168039155,1.189266484,1.210657707,1.232200847,1.25385855,1.275701711,1.297594919,4,33.74498533
-0.275958075,-0.267934327,-0.25769007,-0.245493943,-0.231544863,-0.216081296,-0.199692397,-0.182767178,-0.165512207,-0.148167016,-0.130907142,-0.11384499,-0.097027869,-0.080459808,-0.064122881,-0.047981097,-0.031993816,-0.016088833,-0.000223426,0.015633625,0.03151796,0.047456364,0.063446187,0.079483571,0.095550974,0.111626132,0.12769718,0.143721235,0.159671398,0.175528714,0.191271544,0.206861331,0.222303539,0.237588874,0.25270349,0.26765325,0.282435815,0.29706027,0.311514384,0.32582811,0.33999723,0.35401434,0.367885661,0.381622062,0.39522305,0.408688015,0.422017913,0.435215062,0.448292471,0.461254149,0.474119253,0.486875587,0.499557277,0.512172224,0.524733789,0.537247735,0.549719696,0.562165194,0.574579249,0.586965766,0.599330776,0.611666384,0.623967205,0.636239552,0.648478391,0.660680512,0.672850546,0.684991242,0.697103566,0.709190912,0.721265288,0.73333138,0.745399685,0.757475607,0.769566383,0.781681919,0.793825884,0.806000273,0.818206457,0.83044252,0.84270809,0.855004616,0.867326036,0.879674808,0.892052604,0.904464446,0.916923293,0.929435558,0.942011023,0.954662812,0.967406602,0.980241238,0.993169191,1.00619361,1.019296772,1.032457035,1.045651421,1.058852934,1.072011428,1.085100387,1.098091918,6,43.20555595
-0.691566473,-0.682350003,-0.672939314,-0.65863217,-0.644018865,-0.625729138,-0.607105129,-0.585944697,-0.564492393,-0.541479502,-0.51826428,-0.494252476,-0.470148062,-0.445788852,-0.421442786,-0.397181645,-0.373018532,-0.349117605,-0.325370888,-0.301948387,-0.278708133,-0.255783965,-0.233048474,-0.210587339,-0.188309039,-0.166255077,-0.144374944,-0.122678514,-0.101143644,-0.079766276,-0.058545548,-0.037466617,-0.016545879,0.004241415,0.024865432,0.045361264,0.065688922,0.085894351,0.105930316,0.125853124,0.145611157,0.165269015,0.1847737,0.204194457,0.223479957,0.242699414,0.261805891,0.280863791,0.29983247,0.318767702,0.337635825,0.356481036,0.37527825,0.394059059,0.412805026,0.431537405,0.450241312,0.468932101,0.487595976,0.506245445,0.524867191,0.543472477,0.562049148,0.58060763,0.599138115,0.617649866,0.636136338,0.65460511,0.673053044,0.691485745,0.709902774,0.728307933,0.746702165,0.765088165,0.783466774,0.801840717,0.820209508,0.838577148,0.856941805,0.875309845,0.893677803,0.912056948,0.930440652,0.948849136,0.967268905,0.985734741,1.004219984,1.022780078,1.041367337,1.060061777,1.078788327,1.097648844,1.11654126,1.13557398,1.154632041,1.173796034,1.192973457,1.21215792,1.231342485,1.250346486,1.269342914,8,31.73401535
-0.804510204,-0.794669861,-0.78427746,-0.768877027,-0.752634609,-0.733001977,-0.712500793,-0.689965696,-0.666750531,-0.642519481,-0.617931123,-0.592997218,-0.568072169,-0.543168918,-0.518603224,-0.49420386,-0.470371216,-0.446720462,-0.423732185,-0.400916539,-0.378684402,-0.356618493,-0.335010828,-0.313543805,-0.292405513,-0.271376705,-0.25056907,-0.229849539,-0.209262612,-0.188755236,-0.168330337,-0.147983883,-0.127694235,-0.107490385,-0.087332472,-0.06726687,-0.047247856,-0.027315003,-0.007432594,0.012374447,0.032134336,0.05183479,0.071498218,0.091122418,0.110724869,0.130309743,0.149890584,0.169473639,0.189069462,0.208682796,0.228321737,0.24798937,0.267688573,0.287420362,0.307182587,0.326977607,0.346798721,0.366649478,0.386521489,0.406419249,0.42633514,0.446274743,0.46623224,0.486215222,0.506218476,0.526253938,0.546312735,0.566414921,0.586546022,0.60672779,0.626947922,0.647219723,0.667539891,0.687907945,0.708331326,0.72879457,0.749315771,0.769867488,0.790471425,0.811097293,0.831768213,0.852454048,0.87317974,0.893917079,0.914696061,0.935491364,0.956336076,0.977213109,0.998155062,1.019157657,1.040243069,1.06142935,1.082710411,1.104137513,1.125657909,1.147357622,1.169131987,1.191078759,1.213067895,1.235143076,1.257227881,10,30.57775861
-0.51293862,-0.505228953,-0.496760399,-0.484315118,-0.470651455,-0.454416552,-0.436831272,-0.417808045,-0.397594343,-0.376734677,-0.355063067,-0.333183379,-0.311008356,-0.288819723,-0.26675688,-0.244809643,-0.223182038,-0.201798319,-0.180762988,-0.160078787,-0.139670463,-0.119685219,-0.099912078,-0.080521067,-0.06131128,-0.042432014,-0.023717491,-0.005262442,0.0130252,0.031128185,0.049051348,0.066837626,0.084455007,0.101954153,0.119310961,0.136560311,0.153685942,0.170721187,0.187647128,0.204491062,0.221253868,0.23793369,0.254550183,0.271098731,0.287590014,0.304022825,0.320402628,0.336729636,0.353005715,0.369232438,0.385409944,0.401537341,0.417619627,0.433658959,0.44965968,0.465624441,0.481558961,0.497468031,0.513356452,0.529232155,0.545097109,0.560962528,0.576827309,0.59270215,0.608586807,0.624487915,0.640406146,0.656346126,0.672308424,0.688294934,0.704308714,0.720349032,0.736418111,0.752519288,0.768646061,0.784812441,0.801001526,0.817233931,0.833487178,0.84978264,0.866097921,0.882452839,0.898829397,0.915235317,0.931668279,0.948122209,0.964609147,0.981111051,0.997656227,1.014214781,1.030828493,1.047461989,1.064160135,1.080895249,1.097695407,1.11455715,1.131475688,1.148477237,1.165517848,1.182643057,1.199784372,12,30.55538095
-0.637448531,-0.631557172,-0.624194469,-0.61428738,-0.60214499,-0.588954432,-0.57395086,-0.558361333,-0.542132467,-0.525515003,-0.508818831,-0.492140733,-0.475637909,-0.459302445,-0.443269846,-0.427413809,-0.411768554,-0.396260624,-0.380809352,-0.365368334,-0.34985538,-0.334231689,-0.318433443,-0.302440991,-0.286249799,-0.269844229,-0.253251491,-0.236497822,-0.219606773,-0.202638467,-0.185625519,-0.168619229,-0.151662465,-0.134805626,-0.118061951,-0.101492025,-0.085097801,-0.068893262,-0.052909588,-0.037108414,-0.021527014,-0.006127343,0.009098064,0.024154513,0.039086135,0.053896738,0.068611172,0.083251076,0.097836982,0.112386082,0.126914461,0.141426194,0.155937868,0.170449195,0.184963532,0.199480352,0.213992588,0.228501628,0.242994596,0.257467138,0.271908323,0.28631413,0.300674361,0.31498822,0.329246788,0.343447023,0.357595282,0.371680008,0.385718275,0.399704283,0.413648013,0.427558741,0.44143587,0.455299653,0.469148708,0.4830006,0.496860951,0.510739242,0.524648897,0.538590469,0.552582688,0.566624021,0.580720846,0.594884427,0.609106059,0.623394353,0.637746785,0.652148546,0.666609932,0.681108327,0.695639994,0.710195127,0.724758551,0.739320429,0.75386988,0.768406632,0.782905657,0.797387762,0.811837392,0.82626631,0.840684118,14,39.2094276
-0.675973738,-0.669111522,-0.660000154,-0.648608835,-0.634145233,-0.61842724,-0.601586528,-0.583640504,-0.56534796,-0.546839727,-0.528324247,-0.509979603,-0.491815666,-0.473951195,-0.45632902,-0.438881421,-0.42160912,-0.404405097,-0.387216239,-0.369991797,-0.352679499,-0.33525512,-0.317695039,-0.30001345,-0.282210755,-0.264309204,-0.246349334,-0.228350536,-0.21035802,-0.192399267,-0.174510194,-0.156724709,-0.139048618,-0.121515709,-0.104141988,-0.086921042,-0.069871312,-0.053000411,-0.036293487,-0.019759236,-0.003404876,0.012793294,0.02882726,0.044688674,0.060412405,0.075983447,0.091412357,0.106727047,0.121919859,0.137018913,0.152043876,0.167002286,0.181923557,0.196822883,0.211720058,0.226626549,0.241558103,0.256524536,0.271524275,0.286565933,0.301642946,0.316748391,0.331877028,0.347015726,0.362153904,0.377281462,0.392383942,0.407456252,0.422488404,0.43747109,0.45241031,0.467297875,0.482133853,0.496930952,0.51168507,0.526405353,0.541101149,0.555774104,0.570433778,0.585085284,0.599732162,0.614379577,0.62902877,0.643682342,0.658340752,0.673003698,0.68767247,0.702345672,0.717025546,0.731714801,0.746413354,0.761129125,0.77587351,0.790646394,0.805457724,0.820341017,0.835282598,0.850287775,0.865417059,0.880622206,0.895900346,16,39.31774968
-0.8029186,-0.794408436,-0.785414056,-0.771437805,-0.756733894,-0.738656239,-0.719841682,-0.698999299,-0.677593151,-0.655167693,-0.632454466,-0.609385666,-0.586322789,-0.56327099,-0.54046328,-0.517820652,-0.495551081,-0.473475243,-0.451788727,-0.43027498,-0.40906159,-0.387982082,-0.367095706,-0.346292044,-0.325590654,-0.304928237,-0.284311871,-0.263712336,-0.243137676,-0.222584247,-0.202066667,-0.181598686,-0.161193534,-0.140885916,-0.120672491,-0.100608765,-0.080674756,-0.060921438,-0.041332605,-0.021941402,-0.002730045,0.016280426,0.035113136,0.053757738,0.072240796,0.090562492,0.108750275,0.126812606,0.144776173,0.162654091,0.180471515,0.198241055,0.21598863,0.233724378,0.251468973,0.269228951,0.287019568,0.304844739,0.322712816,0.340626032,0.358585775,0.37659336,0.394644362,0.41273989,0.43087101,0.44903983,0.467233658,0.485456282,0.503694684,0.521949998,0.540213234,0.558482761,0.576751663,0.595018768,0.613275353,0.631524225,0.649751186,0.667965376,0.686147269,0.704311964,0.722435134,0.74053839,0.758594143,0.776630162,0.794619015,0.812590985,0.830529237,0.848459412,0.866378325,0.884310791,0.902259857,0.92026163,0.938306545,0.956461825,0.974678597,0.993075696,1.011538476,1.030248247,1.049011137,1.068057756,1.087131688,18,33.74501885
-0.340756421,-0.333500045,-0.32463114,-0.31289254,-0.298739489,-0.283380951,-0.266136679,-0.248248768,-0.229653255,-0.2107581,-0.191769972,-0.172913908,-0.154299156,-0.135997904,-0.118137878,-0.100613628,-0.083536039,-0.066791126,-0.05036017,-0.034203073,-0.018233737,-0.0024446,0.013231039,0.028821557,0.044351823,0.059835797,0.075278321,0.090679153,0.106030625,0.121327508,0.136541753,0.151669052,0.166693973,0.181595214,0.196381848,0.211023088,0.225529819,0.239904329,0.254140578,0.268260243,0.282263871,0.296169625,0.309995344,0.323756123,0.337468157,0.351154029,0.364826526,0.37850305,0.392196424,0.405916345,0.419666121,0.433464966,0.447299733,0.461174965,0.475088418,0.489031139,0.503005593,0.516994268,0.530997431,0.545003113,0.559007059,0.573001733,0.586982647,0.600949545,0.614893441,0.628822154,0.642728441,0.656617876,0.670494826,0.68436107,0.698224138,0.712085865,0.725958106,0.739841352,0.75374636,0.767678332,0.781643166,0.79564795,0.809696734,0.823793637,0.837945101,0.852156458,0.86642262,0.880751779,0.895141807,0.909590108,0.924103962,0.938667422,0.953290946,0.967963139,0.982678809,0.997445796,1.01224282,1.027083335,1.041955786,1.056854665,1.071797034,1.08676075,1.101763026,1.11680239,1.131862391,19,34.85971035
-0.604821745,-0.596822086,-0.588079134,-0.575611942,-0.561933948,-0.545844534,-0.528390054,-0.509596591,-0.489580852,-0.468966654,-0.447557637,-0.425951489,-0.404113042,-0.382298905,-0.360662234,-0.339248647,-0.318194853,-0.297543745,-0.277287354,-0.257539092,-0.23812161,-0.219240784,-0.200646259,-0.182450876,-0.164512087,-0.146838459,-0.129367484,-0.112050622,-0.094861979,-0.077750337,-0.06071073,-0.043699767,-0.026721788,-0.009753251,0.007199111,0.02413991,0.041064193,0.057960484,0.074833068,0.091655047,0.108446836,0.125167273,0.14184517,0.158458208,0.175018007,0.191524724,0.207979229,0.224395655,0.24076976,0.257120792,0.27344575,0.289758883,0.306065295,0.322369762,0.338681409,0.354998558,0.371330588,0.387673847,0.404034914,0.420411273,0.436804618,0.453216246,0.469642337,0.486086675,0.502543713,0.51901944,0.535504469,0.55201012,0.568521172,0.585052603,0.601586477,0.618138483,0.634691574,0.651258188,0.667827013,0.684403048,0.700983676,0.717568083,0.734157229,0.750753242,0.767354076,0.783974102,0.800603623,0.817265827,0.83395443,0.850687655,0.867479363,0.884321965,0.901270916,0.918271328,0.935434984,0.952658293,0.970079506,0.987595145,1.005298525,1.023150684,1.041153257,1.059352425,1.077650164,1.096161887,1.114716435,21,29.22560291
