0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Subject
-0.983509815,-0.979642802,-0.975775788,-0.971908775,-0.968041761,-0.964050765,-0.958577972,-0.952470937,-0.946363902,-0.940256868,-0.933965076,-0.926968405,-0.919341116,-0.91156737,-0.903769808,-0.895841957,-0.887561251,-0.878968907,-0.870179766,-0.861318626,-0.852397006,-0.843338542,-0.834151393,-0.824869561,-0.815551866,-0.806221813,-0.796862925,-0.78749619,-0.778141438,-0.768810496,-0.759509893,-0.750261567,-0.74104908,-0.731904107,-0.722846144,-0.713831688,-0.704925226,-0.696066675,-0.687310616,-0.678616789,-0.670018097,-0.661511099,-0.653058353,-0.644711236,-0.636411814,-0.628164484,-0.620037748,-0.611918249,-0.603883792,-0.595893466,-0.587903141,-0.580024359,-0.572145577,-0.564284372,-0.556466987,-0.548647371,-0.540849038,-0.533069923,-0.525280787,-0.517494646,-0.509704868,-0.501897432,-0.494092485,-0.48626834,-0.478420066,-0.470558953,-0.46266421,-0.454755503,-0.446818867,-0.438849137,-0.430860997,-0.42283068,-0.414782122,-0.406698106,-0.398586286,-0.390445642,-0.382267836,-0.374068976,-0.36584904,-0.357600727,-0.349316777,-0.341002966,-0.332676885,-0.324341092,-0.31598368,-0.307595881,-0.299182962,-0.290766669,-0.2823504,-0.273925964,-0.265476705,-0.257016244,-0.248559332,-0.24010242,-0.231645508,-0.223181285,-0.214726509,-0.206275543,-0.197824577,-0.189373611,-0.180922645,4
-0.272146765,-0.268739681,-0.265332597,-0.261695831,-0.257144602,-0.252309258,-0.24720449,-0.24165661,-0.235701045,-0.229557076,-0.22315184,-0.216498702,-0.209649376,-0.202652041,-0.195551848,-0.18832312,-0.181012226,-0.173670666,-0.166278286,-0.158864894,-0.151453164,-0.144043271,-0.136659632,-0.129289349,-0.12196141,-0.114669258,-0.107410826,-0.100200904,-0.093032246,-0.085902868,-0.078805658,-0.071759886,-0.064747065,-0.057753794,-0.050800803,-0.043872761,-0.036951136,-0.030054867,-0.023172826,-0.016295052,-0.009419122,-0.002555768,0.004312969,0.011192038,0.018064321,0.024950753,0.031844965,0.038743398,0.045652591,0.052570034,0.059493498,0.066426708,0.073362251,0.080303926,0.087247385,0.094189445,0.101133451,0.108067546,0.115002662,0.121928218,0.128837053,0.135742275,0.142631982,0.149501543,0.156358627,0.163195961,0.17001005,0.17680992,0.183580379,0.190333431,0.197067621,0.203767122,0.210448012,0.217109162,0.223744756,0.230347065,0.236937537,0.243502526,0.250033915,0.256550914,0.263046334,0.269505888,0.2759506,0.282370836,0.288760496,0.295134127,0.301479225,0.307795768,0.314090376,0.320360622,0.326603052,0.332812305,0.338996043,0.345162617,0.351288249,0.35738029,0.363456722,0.369506984,0.37549844,0.381478342,0.387458244,6
-0.690853038,-0.68791199,-0.684970942,-0.682029895,-0.679088847,-0.676147799,-0.673132003,-0.668909685,-0.664348383,-0.659787081,-0.655225779,-0.650664477,-0.645984783,-0.640663615,-0.634852886,-0.629024015,-0.623195144,-0.617349162,-0.61140734,-0.605189952,-0.598484768,-0.591742309,-0.58499985,-0.578231253,-0.571400316,-0.564507649,-0.557198104,-0.549881155,-0.542545216,-0.535194635,-0.527805003,-0.520388035,-0.512804598,-0.505165671,-0.497514912,-0.489858238,-0.48218272,-0.47449935,-0.466779085,-0.459021924,-0.451264759,-0.443506209,-0.435748973,-0.42799202,-0.420241837,-0.412514446,-0.404789038,-0.397065022,-0.389361879,-0.381659866,-0.373957853,-0.366348509,-0.358739164,-0.351131468,-0.343554842,-0.335980566,-0.328409424,-0.320926592,-0.31347189,-0.306022549,-0.298598229,-0.291181846,-0.283771483,-0.276420234,-0.269127347,-0.261842912,-0.254578759,-0.247319221,-0.240068912,-0.232845739,-0.225703972,-0.218572569,-0.21145597,-0.204343953,-0.197237649,-0.190133547,-0.183125245,-0.176128181,-0.169142385,-0.162161068,-0.155179751,-0.148203965,-0.14129097,-0.134410462,-0.127540146,-0.120671775,-0.113803404,-0.106936586,-0.100110348,-0.093334086,-0.086566789,-0.079799492,-0.073032195,-0.066264898,-0.05951785,-0.052840486,-0.046167477,-0.039494468,-0.032821459,-0.02614845,-0.019475442,8
-0.805320398,-0.802308652,-0.799296906,-0.796285161,-0.793273415,-0.79026167,-0.787218062,-0.782893305,-0.778180079,-0.773466852,-0.768753626,-0.7640404,-0.75927904,-0.753842681,-0.747852094,-0.741843675,-0.735835256,-0.729826837,-0.723769341,-0.717443011,-0.710580109,-0.703683247,-0.696786386,-0.689889524,-0.682954886,-0.67597775,-0.668578477,-0.661173527,-0.653757222,-0.646340917,-0.638905541,-0.631456816,-0.623873451,-0.616245206,-0.608614433,-0.600982396,-0.593352108,-0.58572255,-0.578093317,-0.570464408,-0.562835499,-0.555211945,-0.547608537,-0.540009447,-0.532439593,-0.524957446,-0.517475299,-0.50999669,-0.502558276,-0.495121931,-0.487685587,-0.48042556,-0.473165534,-0.465907701,-0.458693394,-0.451483298,-0.444273202,-0.437206455,-0.430187492,-0.423174493,-0.416189322,-0.409216446,-0.402243571,-0.395358687,-0.388561793,-0.381772983,-0.37500357,-0.368237672,-0.361478803,-0.354756168,-0.348142235,-0.341536795,-0.334943485,-0.328350175,-0.321762335,-0.31517723,-0.308701705,-0.302233981,-0.295773191,-0.289312401,-0.282851611,-0.276396722,-0.270000295,-0.263630196,-0.257263829,-0.250897461,-0.244531093,-0.238166063,-0.231830875,-0.225529152,-0.219229366,-0.212929581,-0.206629795,-0.200330009,-0.194041959,-0.18779112,-0.181541148,-0.175291175,-0.169041203,-0.16279123,-0.156541258,10
-0.516005175,-0.513660857,-0.511316539,-0.50897222,-0.506627902,-0.504283583,-0.501809048,-0.498158811,-0.494361698,-0.490564585,-0.486767472,-0.482970359,-0.478960794,-0.474231245,-0.469271721,-0.464312197,-0.459352672,-0.454374603,-0.449193071,-0.443624562,-0.437810159,-0.431995756,-0.426181353,-0.420336509,-0.414333507,-0.408162362,-0.401786964,-0.395411566,-0.389030795,-0.382631218,-0.376124624,-0.369543118,-0.362887397,-0.356206938,-0.349518608,-0.342826344,-0.336082774,-0.329317827,-0.322544097,-0.315761306,-0.308976273,-0.302191241,-0.295411887,-0.28863375,-0.281865249,-0.275127701,-0.268391792,-0.261655882,-0.25497459,-0.248296711,-0.241618833,-0.235019651,-0.228420469,-0.221826296,-0.215312265,-0.208798234,-0.202288066,-0.195846989,-0.189427333,-0.183024329,-0.176699032,-0.170373735,-0.164056283,-0.157783101,-0.151553207,-0.145350378,-0.139212504,-0.133077383,-0.126947767,-0.120838027,-0.114787913,-0.108772254,-0.102805815,-0.096845194,-0.090886236,-0.084927278,-0.079037205,-0.073186001,-0.067370855,-0.061560994,-0.055751134,-0.049941273,-0.044174796,-0.038463999,-0.032779904,-0.027097918,-0.021415933,-0.015733947,-0.010076027,-0.004485334,0.001086894,0.006659122,0.01223135,0.017803578,0.023365712,0.02885103,0.034327954,0.039804878,0.045281801,0.050758725,0.056235648,12
-0.63885304,-0.636501056,-0.634149072,-0.631797088,-0.629420835,-0.625817939,-0.621908831,-0.617999723,-0.614053859,-0.609424803,-0.604335201,-0.5992456,-0.594118557,-0.588677227,-0.58279889,-0.576907181,-0.570986797,-0.564916494,-0.558630425,-0.552278706,-0.545912456,-0.539497671,-0.533004592,-0.526469204,-0.519934079,-0.513399265,-0.506856151,-0.500330246,-0.493815732,-0.487320511,-0.480851477,-0.474423302,-0.468030351,-0.461663898,-0.455328099,-0.449025931,-0.442782012,-0.436562416,-0.43036341,-0.424186693,-0.418057635,-0.411951469,-0.405853398,-0.399768228,-0.393695554,-0.387640412,-0.381585701,-0.375523127,-0.369458157,-0.363384027,-0.357309896,-0.35120124,-0.345092584,-0.338944138,-0.332787647,-0.326588167,-0.320383281,-0.314135101,-0.307856782,-0.301539806,-0.295209769,-0.288850507,-0.282437705,-0.275998007,-0.269539467,-0.263060899,-0.256537414,-0.249989559,-0.243422267,-0.236840013,-0.230238388,-0.223612483,-0.216973406,-0.210326225,-0.203678399,-0.197014377,-0.19035011,-0.183685718,-0.177026783,-0.170370041,-0.163726596,-0.157094493,-0.150469913,-0.143854253,-0.137271121,-0.130714657,-0.124165803,-0.117618656,-0.111127673,-0.104679585,-0.098237796,-0.091796008,-0.085403636,-0.079083754,-0.072768095,-0.066452437,-0.060163722,-0.053978712,-0.047795671,-0.04161263,-0.035429588,14
-0.67715109,-0.674474067,-0.671797045,-0.669120022,-0.665965268,-0.661639577,-0.657233174,-0.652762408,-0.64769756,-0.642084966,-0.636394346,-0.630510725,-0.624263142,-0.617754927,-0.61116185,-0.604418753,-0.597487237,-0.590444452,-0.583330828,-0.576170052,-0.568927584,-0.56165525,-0.554361415,-0.547061373,-0.5397692,-0.532491174,-0.525222948,-0.517975025,-0.510779638,-0.503611961,-0.496474643,-0.489364624,-0.48232343,-0.475300834,-0.468308687,-0.461358894,-0.454449359,-0.447551854,-0.440675774,-0.433836415,-0.427011545,-0.420194677,-0.413383152,-0.406579438,-0.399783551,-0.392987302,-0.386175228,-0.379357455,-0.372538606,-0.365698541,-0.358849915,-0.35197628,-0.345093582,-0.33818287,-0.331266544,-0.324321794,-0.31735401,-0.310373441,-0.303380885,-0.296359397,-0.289322511,-0.282278067,-0.275221271,-0.268143792,-0.261059393,-0.253969834,-0.246873579,-0.239771769,-0.232667058,-0.225560648,-0.218460403,-0.211362547,-0.204267511,-0.197177881,-0.190104132,-0.183038762,-0.175980749,-0.16893803,-0.161919107,-0.154909089,-0.147915846,-0.140939777,-0.133995031,-0.127062347,-0.120148541,-0.113257501,-0.106398976,-0.099562274,-0.092736227,-0.085942193,-0.079185347,-0.072446475,-0.065714548,-0.059027793,-0.052382472,-0.045740879,-0.039106082,-0.032541382,-0.026001989,-0.019462596,-0.012923203,16
-0.80092131,-0.798054677,-0.795188043,-0.79232141,-0.789454777,-0.786588143,-0.783086665,-0.778401752,-0.77369548,-0.768989208,-0.764282937,-0.759511792,-0.753917248,-0.747862541,-0.741774941,-0.73568734,-0.729580811,-0.723238737,-0.716460729,-0.709475372,-0.702455445,-0.695435518,-0.688369295,-0.681077038,-0.673640567,-0.666113682,-0.658558587,-0.650991963,-0.643392967,-0.635699289,-0.627966216,-0.620205565,-0.612436869,-0.60466763,-0.596895474,-0.589121859,-0.581351835,-0.573585943,-0.565832845,-0.55808574,-0.550396724,-0.542707708,-0.535057189,-0.527433069,-0.519812219,-0.512247199,-0.504724121,-0.497201043,-0.489748797,-0.482306913,-0.474865029,-0.467524863,-0.460184697,-0.452852781,-0.445586749,-0.438320716,-0.431087935,-0.423903699,-0.416722441,-0.409555489,-0.402429494,-0.395303499,-0.388221465,-0.381149277,-0.374082003,-0.367024978,-0.359992299,-0.352968306,-0.345961687,-0.338955204,-0.331952941,-0.324959307,-0.317977998,-0.31100451,-0.304031955,-0.29705658,-0.290086851,-0.283123561,-0.276166808,-0.26921273,-0.262255647,-0.255298563,-0.248344727,-0.241397915,-0.234458608,-0.227520958,-0.220583181,-0.213645405,-0.206709393,-0.199785712,-0.192880456,-0.185976548,-0.179072641,-0.172168734,-0.165265647,-0.158398455,-0.151551076,-0.144703698,-0.13785632,-0.131008941,-0.124161563,18
-0.34441291,-0.341791242,-0.339169574,-0.336547906,-0.333926238,-0.330779555,-0.326751133,-0.322588911,-0.31842669,-0.314081538,-0.309305041,-0.304149739,-0.298876605,-0.293473105,-0.287904689,-0.282134089,-0.276193949,-0.270096685,-0.263951041,-0.257686956,-0.251337577,-0.244903473,-0.238402188,-0.231869552,-0.225306098,-0.21871023,-0.212098114,-0.205475755,-0.198863418,-0.192269344,-0.185675348,-0.179102636,-0.172554236,-0.166077693,-0.159612858,-0.153158973,-0.146758883,-0.140427215,-0.134151379,-0.127899825,-0.121672447,-0.115508018,-0.109406559,-0.10335479,-0.097344015,-0.091358243,-0.085432633,-0.079528443,-0.07368003,-0.067888313,-0.062096596,-0.056367968,-0.050639341,-0.044951978,-0.039311422,-0.033680215,-0.028082302,-0.022488984,-0.016913826,-0.011369268,-0.005842389,-0.000332375,0.005174881,0.010673731,0.016154006,0.02162624,0.02708295,0.032537452,0.037987858,0.043428281,0.048862447,0.054287982,0.059707867,0.065121319,0.070531297,0.075932417,0.081328824,0.086712945,0.092092271,0.097466764,0.1028327,0.10818466,0.11352839,0.118862106,0.124191169,0.129503883,0.134805765,0.140092563,0.145366289,0.150628723,0.155886146,0.161123246,0.166332941,0.171528641,0.176724342,0.18191673,0.18706682,0.19218827,0.197309719,0.202431168,0.207552617,19
-0.604139907,-0.601813324,-0.599486741,-0.597160158,-0.594833575,-0.592506992,-0.590119281,-0.586885897,-0.583293981,-0.579662918,-0.576031856,-0.572400793,-0.568669186,-0.564490032,-0.559929442,-0.555286509,-0.550610857,-0.545907562,-0.541116968,-0.536115899,-0.530810934,-0.525382326,-0.519938263,-0.514459866,-0.508898812,-0.503275571,-0.497381576,-0.491460665,-0.485482005,-0.479482332,-0.473435292,-0.467358736,-0.461160615,-0.454925499,-0.448657494,-0.442373044,-0.436070669,-0.429755977,-0.423418735,-0.417056499,-0.410692502,-0.404319129,-0.397953885,-0.391590253,-0.385234107,-0.378906154,-0.372580923,-0.366262689,-0.35998434,-0.353707841,-0.347431342,-0.341253918,-0.335076494,-0.328901619,-0.322789002,-0.316692627,-0.310601149,-0.304600297,-0.298634219,-0.292677539,-0.286759568,-0.280879958,-0.275014459,-0.269215146,-0.2634756,-0.257755738,-0.252069919,-0.246400475,-0.240763785,-0.235154809,-0.229636917,-0.224137029,-0.218664774,-0.213202352,-0.207765671,-0.202341026,-0.197008655,-0.191692585,-0.186400339,-0.181115768,-0.175835957,-0.170585892,-0.165387719,-0.160220196,-0.155062081,-0.149908053,-0.144760789,-0.139625765,-0.134528687,-0.129464763,-0.12440522,-0.119345676,-0.114286133,-0.109231287,-0.104199184,-0.099198607,-0.094199035,-0.089199463,-0.084199891,-0.079200318,-0.074200746,21
